prior,obs_day,obs_fraction,mask_type,noise_std,method,n,RMSE,MAE,Bias,Edge_RMSE,MIZ_RMSE,SIE_error
persistence,5,0.1,random,0.0,Original Prior,4,0.08710077404975891,0.01914922147989273,-0.0002601513988338411,0.18545536696910858,0.30113932490348816,0.011212408943222112
persistence,5,0.1,random,0.0,Fixed Propagation,4,0.06735838949680328,0.014649461023509502,-0.00016368676733691245,0.14954842627048492,0.24719439446926117,0.007173271219381926
persistence,5,0.1,random,0.0,ECHO-Scale,4,0.06536640971899033,0.014256233349442482,-0.00014251793618313968,0.1456667184829712,0.24053487181663513,0.007265997062445292
persistence,5,0.1,random,0.0,ECHO-Delta,4,0.05833692103624344,0.012012544088065624,0.0008113283547572792,0.13294796645641327,0.23129461705684662,0.004369241725145765
direct_unet,5,0.1,edge,0.03,Original Prior,4,0.07984378933906555,0.01727195642888546,-0.00020520153339020908,0.17903074622154236,0.2961907982826233,0.0056377312582526
direct_unet,5,0.1,edge,0.03,Fixed Propagation,4,0.061096638441085815,0.01975322514772415,0.004739570897072554,0.13327525556087494,0.21559575200080872,0.008044894144177559
direct_unet,5,0.1,edge,0.03,ECHO-Scale,4,0.058572981506586075,0.017188478261232376,0.0031882545445114374,0.1302458792924881,0.21354441344738007,0.006928474993694643
direct_unet,5,0.1,edge,0.03,ECHO-Delta,4,0.054770417511463165,0.011212676763534546,0.0006985095678828657,0.123869888484478,0.21179334819316864,0.004198626173909173
